// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	     10000	      1086	       631
       100	     10000	      1535	       239
      1000	     10000	       982	       360
        10	     20000	       209	       198
       100	     20000	       208	       192
      1000	     20000	       186	      1019
     10000	     20000	       204	       478
        10	     30000	       292	       283
       100	     30000	       300	       351
      1000	     30000	       290	      6942
     10000	     30000	       293	       357
        10	     40000	       339	       421
       100	     40000	       762	       562
      1000	     40000	       657	       474
     10000	     40000	       375	       462
        10	     50000	       505	       453
       100	     50000	       463	       475
      1000	     50000	       460	       476
     10000	     50000	       462	       511
        10	     60000	       584	       545
       100	     60000	       591	       538
      1000	     60000	       537	       555
     10000	     60000	       588	       715
        10	     70000	       686	       566
       100	     70000	       633	       668
      1000	     70000	       678	       722
     10000	     70000	       645	       654
        10	     80000	       756	       643
       100	     80000	       724	       676
      1000	     80000	       770	       633
     10000	     80000	       668	       641
        10	     90000	       762	       689
       100	     90000	       835	       814
      1000	     90000	       995	       759
     10000	     90000	      1007	       795
        10	    100000	      1004	       813
       100	    100000	       900	       813
      1000	    100000	       860	       852
     10000	    100000	       804	       940
        10	    110000	      1222	      1116
       100	    110000	      1016	      1142
      1000	    110000	      1182	      1078
     10000	    110000	       979	       940
        10	    120000	      1160	      1291
       100	    120000	      1206	      1246
      1000	    120000	      1353	      1109
     10000	    120000	      1111	      1148
        10	    130000	      1140	      1244
       100	    130000	      1375	      1309
      1000	    130000	      1505	      1294
     10000	    130000	      1204	      1350
        10	    140000	      1448	      1350
       100	    140000	      1435	      1491
      1000	    140000	      1544	      1222
     10000	    140000	      1571	      1546
        10	    150000	      1655	      1413
       100	    150000	      1655	      1518
      1000	    150000	      1592	      1402
     10000	    150000	      1792	      1592
        10	    160000	      1519	      1531
       100	    160000	      1558	      1438
      1000	    160000	      1440	      1374
     10000	    160000	      1604	      1457
        10	    170000	      1776	      1624
       100	    170000	      1750	      1848
      1000	    170000	      1669	      1686
     10000	    170000	      1810	      1516
        10	    180000	      1826	      1646
       100	    180000	      1805	      1720
      1000	    180000	      1774	      1776
     10000	    180000	      2009	      2047
        10	    190000	      2167	      1949
       100	    190000	      1984	      2131
      1000	    190000	      1840	      2095
     10000	    190000	      1832	      1610
        10	    200000	      1979	      1978
       100	    200000	      2190	      1949
      1000	    200000	      1873	      1785
     10000	    200000	      1987	      1689
    100000	    200000	      2255	      2108
        10	    210000	      2117	      1964
       100	    210000	      2131	      1965
      1000	    210000	      4598	      2291
     10000	    210000	      1869	      1962
    100000	    210000	      2281	      5729
        10	    220000	      2037	      2278
       100	    220000	      2463	      2374
      1000	    220000	      2149	      2151
     10000	    220000	      2413	      2129
    100000	    220000	      2504	      2268
        10	    230000	      2201	      2155
       100	    230000	      2194	      2344
      1000	    230000	      2239	      2290
     10000	    230000	      2409	      1859
